time,lon,lat,max_temperature
1.0,115.30021168953192,22.796294390128175,18.4
2.0,115.30021168953192,22.796294390128175,19.9
3.0,115.30021168953192,22.796294390128175,21.5
4.0,115.30021168953192,22.796294390128175,25.8
5.0,115.30021168953192,22.796294390128175,28.4
6.0,115.30021168953192,22.796294390128175,31.3
7.0,115.30021168953192,22.796294390128175,31.2
8.0,115.30021168953192,22.796294390128175,32.0
9.0,115.30021168953192,22.796294390128175,30.9
10.0,115.30021168953192,22.796294390128175,28.7
11.0,115.30021168953192,22.796294390128175,24.8
12.0,115.30021168953192,22.796294390128175,19.0
13.0,115.30021168953192,22.796294390128175,16.0
14.0,115.30021168953192,22.796294390128175,17.5
15.0,115.30021168953192,22.796294390128175,20.3
16.0,115.30021168953192,22.796294390128175,25.4
17.0,115.30021168953192,22.796294390128175,28.8
18.0,115.30021168953192,22.796294390128175,31.0
19.0,115.30021168953192,22.796294390128175,32.6
20.0,115.30021168953192,22.796294390128175,31.9
21.0,115.30021168953192,22.796294390128175,31.2
22.0,115.30021168953192,22.796294390128175,29.3
23.0,115.30021168953192,22.796294390128175,24.1
24.0,115.30021168953192,22.796294390128175,21.9
25.0,115.30021168953192,22.796294390128175,19.5
26.0,115.30021168953192,22.796294390128175,19.5
27.0,115.30021168953192,22.796294390128175,21.6
28.0,115.30021168953192,22.796294390128175,25.7
29.0,115.30021168953192,22.796294390128175,28.5
30.0,115.30021168953192,22.796294390128175,29.7
31.0,115.30021168953192,22.796294390128175,32.0
32.0,115.30021168953192,22.796294390128175,32.8
33.0,115.30021168953192,22.796294390128175,32.8
34.0,115.30021168953192,22.796294390128175,28.8
35.0,115.30021168953192,22.796294390128175,23.7
36.0,115.30021168953192,22.796294390128175,19.9
